ValuesGB,ValuesFI,ValuesSE,ValuesDK,ValuesBEF,ValuesBED,ValuesSI
accessibility,saavutettavuus,tillgänglighet,tilgængelighed,accessibilité,toegankelijkheid,dostopnost
accountability,vastuullisuus,ansvar,ansvarlighed,responsabilité,verantwoording,odgovornost
adaptability,sopeutumiskyky,anpassningsförmåga,tilpasningsevne,adaptabilité,aanpassingsvermogen,prilagodljivost
education,koulutus,utbildning,undervisning,éducation,educatie,izobrazba
collaboration,yhteistyö,samarbete,samarbejde,collaboration,samenwerking,sodelovanje
compassion,myötätunto,omtanke,medfølelse,compassion,compassie,sočutje
courage,rohkeus,mod,mod,courage,moed,pogum
creativity,luovuus,kreativitet,kreativitet,créativité,creativiteit,ustvarjalnost
democracy,demokratia,demokrati,demokrati,démocratie,democratie,demokracija
diligence,huolellisuus,engagemang,diligence,diligence,ijver,skrbnost
diversity,monimuotoisuus,mångfald,mangfoldighed,diversité,diversiteit,raznovrstnost
efficiency,tehokkuus,effektivitet,effektivitet,efficacité,efficiëntie,učinkovitost
empathy,empatia,empati,empati,empathie,empathie,empatija
empowerment,voimaantuminen,inflytande,empowerment,autonomisation,machtiging,opolnomočenje
environment,ympäristö,miljö,miljø,environnement,omgeving,okolje
equality,tasa-arvo,jämställdhet,lighed,égalité,gelijkheid,enakost
fairness,oikeudenmukaisuus,jämlikhet,retfærdighed,équité,eerlijkheid,pravičnost
flexibility,joustavuus,flexibilitet,fleksibilitet,flexibilité,flexibiliteit,prilagodljivost
forgiveness,anteeksianto,förlåtelse,tilgivelse,pardon,vergevingsgezindheid,odpuščanje
generosity,anteliaisuus,generositet,generøsitet,générosité,gulheid,velikodušnost
gratitude,kiitollisuus,tacksamhet,taknemmelighed,gratitude,dankbaarheid,hvaležnost
honesty,rehellisyys,jämställdhet,ærlighed,honnêteté,eerlijkheid,poštenost
equality,tasa-arvo,rättvisa,lighed,égalité,gelijkwaardigheid,enakost
humility,nöyryys,ödmjukhet,ydmyghed,humilité,nederigheid,ponižnost
inclusivity,osallisuus,inklusivitet,inklusivitet,inclusivité,inclusiviteit,inkluzivnost
innovation,innovaatio,innovation,innovation,innovation,innovatie,inovativnost
integrity,integriteetti,integritet,integritet,intégrité,integriteit,integriteta
justice,oikeudenmukaisuus,rättvisa,retfærdighed,justice,rechtvaardigheid,pravičnost
kindness,ystävällisyys,vänlighet,venlighed,gentillesse,vriendelijkheid,prijaznost
knowledge,tieto,kunskap,viden,connaissances,kennis,znanje
leadership,johtajuus,ledarskap,ledelse,leadership,leiderschap,vodenje
love,rakkaus,kärlek,kærlighed,amour,liefde,ljubezen
loyalty,uskollisuus,lojalitet,loyalitet,loyauté,loyaliteit,zvestoba
liberty,vapaus,frihet,frihed,liberté,vrijheid,svoboda
optimism,optimismi,optimism,optimisme,optimisme,optimisme,optimizem
participation,osallisuus,deltagande,deltagelse,participation,deelname,sodelovanje
patience,kärsivällisyys,tålamod,tålmodighed,patience,geduld,potrpežljivost
peace,rauha,fred,fred,paix,vrede,mir
perseverance,sinnikkyys,uthållighet,udholdenhed,persévérance,volharding,vztrajnost
privacy,yksityisyys,privatliv,privatliv,confiance,privacy,zasebnost
professionalism,ammattitaito,professionalism,faglighed,professionnalisme,professionaliteit,strokovnost
progress,edistys,framsteg,fremskridt,progrès,vooruitgang,napredek
welfare,hyvinvointi,välfärd,velfærd,bien-être,welzijn,blaginja
quality,laatu,kvalitet,kvalitet,qualité,kwaliteit,kakovost
reliability,luotettavuus,pålitlighet,pålidelighed,fiabilité,betrouwbaarheid,zanesljivost
resilience,resilienssi,motstådskraft,modstandsdygtighed,résilience,veerkracht,odpornost
respect,kunnioittaminen,respekt,respekt,respect,respect,spoštovanje
responsibility,vastuullisuus,ansvar,ansvar,responsabilité,verantwoordelijkheid,odgovornost
safety,turvallisuus,säkerhet,sikkerhed,sécurité,veiligheid,varnost
self-discipline,itsekuri,självdisciplin,selvdisciplin,autodiscipline,zelfdiscipline,samodisciplina
solidarity,solidaarisuus,solidaritet,solidaritet,solidarité,solidariteit,solidarnost
sustainability,kestävyys,hållbarhet,bæredygtighed,durabilité,duurzaamheid,trajnost
tolerance,suvaitsevaisuus,tolerans,tolerance,tolérance,tolerantie,strpnost
transparency,läpinäkyvyys,transparens ,gennemsigtighed,transparence,transparantie,preglednost
trust,luottamus,förtroende,tillid,confiance,vertrouwen,zaupanje
trustworthiness,luotettavuus,trovärdighet,troværdighed,fiabilité,betrouwbaarheid,zanesljivost
volunteerism,vapaaehtoisuus,frivillighet,frivillighed,volontariat,vrijwilligerswerk,prostovoljstvo
wisdom,viisaus,visdom,visdom,sagesse,wijsheid,modrost
